ID,type,name,icon,question,answer
29,3,制造,duanzao,制造材料怎么获取？,制造材料需要采集获取，在主城中找到采集专员波尔进行采集。4级以上的材料可以在商城购买。
30,3,制造,duanzao,为什么有些制造材料无法采集？,4级及以上的制造材料需要有相应的许可证才能采集，不同的许可证在不同的地图掉落。
31,3,制造,duanzao,为什么有些装备无法制造？,4级及以上的装备需要有相应的图纸才能制造，不同的图纸在不同的地图掉落。
32,3,制造,duanzao,神秘火种怎么获取？,主线任务可以获得神秘火种，采集有几率采集到神秘火种，商城也可以购买神秘火种。
33,3,制造,duanzao,宝石能在哪里获得？,百人道场、副本、主线任务可以获得宝石，商城可以购买7级宝石
34,4,宠物,08,宠物强化之魂怎么获得？,百人道场可以获得
35,4,宠物,08,宠物还原卷轴怎么获得？,宠物神殿可以获得
36,4,宠物,08,宠物经验丹怎么获得？,宠物神殿可以获得
37,4,宠物,08,宠物还原卷轴有什么用？,宠物还原卷轴能把宠物变成1级，并且重置宠物的成长。
38,4,宠物,08,宠物在哪里捕捉？,可以在宠物图鉴界面查看各种宠物和宠物的捕捉地点。
39,5,寻路,npc,邮箱在哪里打开？,在聂拉维尔王城找信使诺伊可以查看邮件，当收到新邮件时点击邮件图标也可以查看邮件。
40,5,寻路,npc,在哪里学习技能？,在聂拉维尔王城找技能教官托雷尔可以学习技能。
41,5,寻路,npc,在哪里转职成骑士？,在酒馆找骑士长迈尔斯可以转职成骑士。
42,5,寻路,npc,在哪里转职成武僧？,在酒馆找铁僧霍华德可以转职成骑士。
43,5,寻路,npc,在哪里转职成巫师？,在酒馆找毒巫莫尔林可以转职成巫师。
44,5,寻路,npc,在哪里转职成剑士？,在酒馆找盲剑士迪亚斯可以转职成剑士。
45,5,寻路,npc,在哪里转职成忍者？,在酒馆找暗影忍者大师奥多可以转职成忍者。
46,5,寻路,npc,在哪里转职成咒术师？,在酒馆找咒术之火米莉卡可以转职成咒术师。
47,5,寻路,npc,在哪里转职成佣兵？,在伊利斯村找大贤者玛丽安娜可以转职成佣兵。
48,5,寻路,npc,在哪里转职成猎人？,在伊利斯村找大贤者玛丽安娜可以转职成猎人。
49,5,寻路,npc,在哪里转职成法师？,在伊利斯村找大贤者玛丽安娜可以转职成法师。
50,5,寻路,npc,在哪里转职成牧师？,在伊利斯村找大贤者玛丽安娜可以转职成牧师。
