ID,question,answer1,answer2,answer3,answer4,answer
1031,“明月几时有？把酒问青天。”是谁的诗词？,李白,白居易,苏东坡,杜甫,3
1032,“问君能有几多愁”诗句的下句是：,才下眉头，却上心头,恰似一江春水向东流,剪不断，理还乱,却道天凉好个秋,2
1033,穿什么颜色的衣服的人更容易挨蚊子叮？,黑色,白色,黄色,红色,1
1034,人体呼吸系统的组成是：,鼻腔和气管,气管和肺,气管和支气管,呼吸道和肺,4
1035,下令“破釜沉舟”的我国古代将领是：,项庄,项羽,刘邦,张良,2
1036,最简单的有机化合物是：,甲烷,甲醛,甲烯,甲醇,1
1037,有权做出批准或决定逮捕决定的国家机关是？,公安局,司法局,人民检察院,人民法院,3
1038,我国古代《二十四史》的第一部是：,史记,左传,春秋,易经,1
1039,少林寺位于五岳中的哪一岳？,东岳,西岳,中岳,南岳,3
1040,“一横长城长，一竖字铿锵”歌曲《龙文》形象地赞誉了我国的?,书法艺术,绘画艺术,音乐艺术,舞蹈艺术,1
1041,“元大都”是指哪个地方？,咸阳,南京,北京,开封,3
1042,被誉为“东西方文化交流使者”的是?,苏美尔人,雅利安人,日耳曼人,阿拉伯人,4
1043,路易十六曾感叹：“原来是伏尔泰和卢梭毁了法国！”这说明启蒙思想?,点燃了革命火种,巩固了封建统治,阻碍了社会进步,传播了科学知识,1
1044,巴黎公社是无产阶级建立政权的第一次伟大尝试，其理论依据源自,《权利法案》,《人权宣言》,《独立宣言》,《共产党宣言》,4
1045,电灯的发明家是?,瓦特,莱特兄弟,卡尔·本茨,爱迪生,4
1046,下列物体中，质量为0.2kg的可能是,一头大象,一个苹果,一台电视机,一只蚂蚁,2
1047,武曌在唐太宗后宫的封号,贵妃,才人,皇后,宫女,2
1048,武曌在唐高宗后宫的最初的封号,贵妃,昭仪,皇后,天后,2
1049,三教九流不包括,农家,儒教,道教,专家,4
1050,刘邦起义前的工作是,亭长,里长,教头,游侠,1
1051,汉初崇尚什么颜色,黑,白,黄,红,1
1052,康熙皇帝叫什么,玄烨,尔康,胤禛,弘历,1
1053,屈原投江后，人们以何种食物纪念他,粽子,年糕,饺子,月饼,1
1054,断袖之癖指的是,女女之恋,男男之恋,兄弟情义,姐妹情谊,2
1055,小红帽的祖母怎么了,被吃了,被藏起来了,被打晕了,被赶走了,1
1056,重阳登高，头上插什么,茱萸,狗尾巴草,桃花,蒲公英,1
1057,古代传说中，过年放鞭炮是为了,驱赶年兽,活跃气氛,驱逐野兽,恐吓小孩,1
1058,我国古代帝王的皇帝称号，是从哪位帝王开始的,黄帝,嬴政,刘邦,刘彻,2
1059,韩信点兵,喋喋不休,多多益善,尾大不掉,兵多将寡,2
1060,项羽的称号是,楚霸王,齐宣王,楚威王,周怒王,1
1061,霸王别姬的“姬”是指,虞姬,薄姬,厚姬,玉贵妃,1
1062,窈窕淑女是指,相貌好的女子,品行好的女子,身材好的女子,发型好的女子,2
1063,“六艺”不包括哪一项,射,御,书,剑,4
1064,世界上最大的宫殿是：,故宫,凡尔赛宫,白宫,克里姆林宫,2
1065,农历把每月初一叫做什么日？,望日,朔日,晦日,弦日,2
1066,"""六一居士”是谁的别号？",白居易,李清照,欧阳修,唐 寅,3
1067,一个细胞一小时分裂三个，9小时可以把一个容器装满，多少时间使分裂的细胞装到容器的1/9。,1小时,3小时,5小时,7小时,4
1068,《本草纲目》的作者是,华佗,李时珍,孙思邈,张仲景,2
1069,中国最热的地方在哪里？,武汉,重庆,吐鲁番盆地,青藏高原,3
1070,奥运五环旗中的绿色环代表：,亚洲,欧洲,美洲,澳洲,4
1071,正规围棋比赛的棋盘大小是：,19乘19,17乘17,13乘13,21乘21,1
1072,有“钢琴诗人”之称的是：,莫扎特,肖邦,贝多芬,李斯特,2
1073,我国的“诗圣”指的是：,李白,李商隐,杜甫,杜牧,3
1074,以下哪一个不是联合国安理会常任理事国之一？,英国,法国,俄罗斯,德国,4
1075,被称为“三苏”的北宋文学家父子中的父亲是,苏洵,苏轼,苏辙,苏秦,1
1076,路透社是哪个国家的通讯社？,法国,英国,美国,俄罗斯,2
1077,古诗的体制称为“风雅颂”，其中“颂”是指：,地方音乐,宫廷宴会音乐,宗庙乐歌,诗歌,3
1078,“沧海桑田”的沧海应是：,黄海,南海,渤海,东海,4
1079,山东山西的“山”是指：,太行山,泰山,沂蒙山,恒山,1
1080,美国心理学家、行为学家马斯洛把人的需要分为几个层级？,4个,5个,6个,7个,2
1081,湖南湖北的“湖”是指：,太湖,鄱阳湖,洞庭湖,洪泽湖,3
1082,掷出一对点数一样的骰子的可能性是：,三十六分之一,九分之一,三分之一,六分之一,4
1083,“来龙去脉”的成语产生于：,风水勘探,政治事件,神话故事,历史研究,1
1084,古代小说常用“沉鱼落雁，闭月羞花”形容女性之美，其中“闭月”是指：,王昭君,貂禅,西施,杨玉环,2
1085,“白雪公主”这个形象最早来自于：,伊索寓言,安徒生童话,格林童话,一千零一夜,3
1086,四大名茶之一的龙井茶产地是：,江苏苏州,安徽黄山,江西庐山,浙江杭州,4
1087,世界上最大的广场是：,中国的天安门广场,美国纽约时代广场,俄罗斯莫斯科红场,比利时布鲁塞尔大广场,1
1088,“卧薪尝胆”说的是：,夫差,勾践,范蠡,伍子胥,2
1089,2，1，4，3，8，5，（  ）,8,10,12,13,3
1090,8，15，24，35，（  ）,47,48,49,50,2
1091,4，2，6，-2，（  ） ,10,14,2,4,2
1092,3，2，3，8，13，24，（  ）,41,43,45,47,3
1093,0.75，0.65，0.45，（  ）,0.78,0.88,0.55,0.96,3
1094,16，27，16，（ ），1,5,6,7,8,1
1095,0.25，0.25，0.5，2，16，（ ） ,32,64,128,256,4
1096,（ ），36，19，10，5，2 ,77,69,54,48,2
1097,2，8，24，64，（ ） ,160,512,124,164,1
2001,脑筋急转弯，什么布剪不断？,白布,瀑布,黑布,麻布,2
2002,脑筋急转弯，什么东西天气越热，它爬的越高？,手表,温度计,电视机,铁链,2
2003,脑筋急转弯，什么卡通人物最黑暗？,多啦A梦,比卡丘,毛毛,豆豆,1
2004,脑筋急转弯，什么职业每天靠运气赚钱？,煤气工人,洗衣工人,建筑工人,设计师,1
2005,脑筋急转弯，哪个月有28天?,1月,2月,3月,每个月,4
2006,脑筋急转弯，什么东西肥得快，瘦得更快？,雪球,气球,北半球,南半球,2
2007,脑筋急转弯，什么职业最会弄虚做假？,魔术师,医生,教师,工人,1
2008,数学题，鱼缸里有10条鱼，死了一条还有几条？,7,8,9,10,4
2009,"数学题，1到100的100个数字中,共有多少个9字呢?",20,21,22,23,1
2010,数学题，一个挂钟敲6下要30秒，敲12下要多少秒？,33,44,55,66,4
2011,数学题，有十支蜡烛，你吹灭了三支，还有几支？,7,8,9,10,4
2012,脑筋急转弯，什么瓜不能吃？,西瓜,木瓜,菜瓜,傻瓜,4
2013,脑筋急转弯，世界上人口最多的国家？,中国,美国,英国,联合国,4
2014,脑筋急转弯，什么马不会跑？,骏马,汗血宝马,木马,好马,3
2015,脑筋急转弯，有两个人掉进了井里，死的人叫死人，活的人叫什么？,活人,救命,生还者,伤者,2
2016,脑筋急转弯，动物园里谁是百兽之王？,园长,管理员,狮子,老虎,1
2017,脑筋急转弯，一根针掉进了海里后，该怎么办？,跳进海里捞,再买一根,不管它,找人帮忙,2
2018,脑筋急转弯，什么人的心肠最好？,好人,坏人,青年人,健康的人,4
2019,脑筋急转弯，大猫救起了掉进河里的小猫。问：小猫上岸时，会说什么？,谢谢,救我干嘛,喵,什么都不说,3
2020,脑筋急转弯，南瓜和菠萝砸头，哪个疼些？,南瓜,菠萝,头,一样,3
3001,多少级可以接到通缉任务？,20,21,22,23,4
3002,多少级可以转职刺客？,20,25,30,40,2
3003,多少级可以转职剑士？,20,25,30,40,2
3004,多少级可以转职咒术师？,20,25,30,40,2
3005,多少级可以转职巫师？,20,25,30,40,3
3006,多少级可以转职骑士？,20,25,30,40,3
3007,多少级可以转职武僧？,20,25,30,40,3
3008,吸血法术多少级可以学习？,1,5,10,15,3
3009,物理反弹技能多少级可以学习？,1,5,10,15,4
3010,反击技能多少级可以学习？,1,8,15,25,2
3011,催眠技能多少级可以学习？,1,8,15,25,2
3012,十字石化技能多少级可以学习？,1,8,15,25,3
3013,全体混乱技能多少级可以学习？,1,8,15,25,4
3014,回复术技能多少级可以学习？,1,5,10,20,1
3015,恢复术技能多少级可以学习？,1,5,10,20,4
3016,复活技能多少级可以学习？,1,5,10,15,1
3017,下列技能哪一个不是武僧的得意技？,破防,反击,狂暴,守护,3
3018,下列技能哪一个不是佣兵的得意技？,连击,反击,狂暴,破防,2
3019,下列技能哪一个是猎人的得意技？,连击,狂暴,神圣突击,守护,4
3020,下列技能哪一个不是巫师的得意技？,法术反弹,净化,回复,物理吸收,3
3021,下列技能哪一个不是骑士的得意技？,破防,狂暴,神圣突击,自体再生,1
3022,连击不是下列哪个职业的得意技？,佣兵,剑士,骑士,武僧,4
3023,守护不是下列哪个职业的得意技？,剑士,骑士,猎人,武僧,1
3024,神圣护盾是下列哪个职业的得意技？,佣兵,剑士,牧师,骑士,2
3025,下面哪个职业的得意技最少？,刺客,牧师,佣兵,猎人,4
3026,下面哪个职业的得意技有破防？,刺客,剑士,武僧,骑士,3
3027,下面哪个职业的得意技没有自体再生？,刺客,猎人,剑士,武僧,1
3028,下面哪个职业不能带武器？,刺客,咒术师,巫师,武僧,4
3029,下面哪个职业不能穿装备？,武僧,刺客,巫师,咒术师,2
3030,法师在使用3级法术时，魔攻达到多少后，伤害不会增加？,48,82,116,150,2
3031,法术造成的伤害与施法者的哪个属性无关？,施法者的精神,施法者的种族,施法者的魔攻,施法者的等级,4
3032,法术造成的伤害与施法对象的哪个属性无关？,施法对象精神,施法对象防御,施法对象种族,施法对象属性,2
3033,在宠物克制中，人形系对野兽系造成的伤害,多20%,多10%,少10%,少20%,1
3034,在宠物克制中，特殊系对植物系造成的伤害,多20%,多10%,少10%,少20%,3
3035,下列哪项不是伙伴光明使者艾莉的技能？,回复术,十字回复术,全体回复术,复活,2
3036,下列哪项是伙伴奥术玫瑰卡娜的技能？,十字风刃,落石,全体火焰,冰冻,4
3037,下列哪个伙伴没有神圣突击技能？,鹰眼格隆,剑神乔克,女武神吉娜,佣兵女神苏娜,3
3038,下列哪个伙伴能给其他人回生命值？,猩红女巫梅丽,奥术玫瑰卡娜,佣兵女神苏娜,咒术女王摩拉,1
3039,下列哪个宠物可以改造？,哥布林,黄蜂,刺球,螳螂,2
3040,哪里可以获得突破神器所需的神器碎片？,宠物神殿,百人道场,许愿池,副本,2
3041,在哪里可以找到小姑娘安娜？,主城,伊利斯村,罗德里镇,巴尔克斯坦,2
3042,下列哪个时间可以参加采蘑菇活动？,上午8点半,上午10点半,下午2点半,晚上8点半,2
3043,完成许愿池任务不可以许愿以下哪项？,金钱,经验,伙伴,装备,4
3044,每天日常任务可以完成多少次？,5次,10次,20次,不限,2
3045,每天免费高级招募伙伴有多少次？,1次,3次,5次,8次,5
3046,解雇一个白色伙伴可以获得多少佣兵之心？,10,20,40,80,2
3047,解雇一个绿色伙伴可以获得多少佣兵之心？,10,20,40,80,3
3048,解雇一个蓝色伙伴可以获得多少佣兵之心？,10,20,40,80,4
3049,解雇一个紫色伙伴可以获得多少佣兵之心？,40,80,160,320,4
3050,“见习法师”进阶为“法师”需要多少级？,20,25,30,40,3
3051,“法师”进阶为“王宫法师”需要多少级？,30,40,50,60,3
3052,一名60级“王宫法师”的得意技“火焰”最高可以升到多少级？,4,5,6,7,4
3053,下面哪个宠物是在奥梅亚斯捕捉的？,盗贼,山贼,海贼,盗匪精英,2
3054,水蜘蛛在哪里可以捕捉到？,王者墓穴,试炼山洞,奥梅亚斯,贸易通道,2
3055,接取通缉任务最少需要几个人？,1,3,4,5,2
3056,参加百人道场最少需要几个人？,1,3,4,5,1
3057,背包可以容纳多少物品？,20,40,60,80,3
3058,锻造材料一组可以堆叠多少？,20,99,200,999,4
3059,鹰眼格隆一次乱射攻击了9次，她的乱射等级是多少？,7,8,9,10,1
3060,7级连击可以攻击几次？,3,4,5,6,3
3061,一个目标被释放物理反弹，在他5到6次行动回合中物理攻击他，伤害任然被反弹，目标身上的物理反弹可能是几级？,4,5,6,7,4
3062,用地属性法术攻击什么属性的目标伤害最高？,火属性,风属性,地属性,水属性,4
3063,用地属性法术攻击什么属性的目标伤害最低？,火属性,风属性,地属性,水属性,2
3064,当目标身上有物理反弹魔法时，对目标释放下列哪个技能最好？,狂暴,连击,神圣突击,破防,2
3065,20级宠物学习技能在哪个地图？,伊利斯村,罗德里镇,巴尔克斯坦,奥梅亚斯,2
3066,10级宠物想学习技能在哪个地图？,伊利斯村,罗德里镇,巴尔克斯坦,奥梅亚斯,1
3067,40级宠物学习技能在哪个地图？,伊利斯村,罗德里镇,巴尔克斯坦,奥梅亚斯,3
3068,60级宠物学习技能在哪个地图？,伊利斯村,罗德里镇,巴尔克斯坦,奥梅亚斯,4
3069,打造5级装备需要的金属是？,铁,银,铝,纯银,3
3070,打造6级装备需要的木材是？,黄月木,茱萸木,铁杉,琵琶木,3
3071,打造4级装备需要的布料是？,木棉布,毛毡,棉,细线,3
3072,紫宝石镶嵌在武器中的效果是什么？,增加防御，增加攻击,增加命中，减少攻击,减少耐久，增加攻击,增加必杀，减少反击,1
3073,同等级的宝石，镶嵌在武器中增加攻击最多的是什么？,紫色宝石,蓝色宝石,红宝石,冒险之星,4
3074,镶嵌在武器中会减少攻击的宝石是？,骑士宝石,绿色宝石,红色宝石,冒险之星,1
3075,身上最多可携带几只宠物？,2,3,4,5,2
3076,宠物强化等级1升到2，宠物成长值会增加多少？,1,0.1,0.01,0.001,4
3077,创建角色时有几种外形可以选择？,3,4,5,6,4
3078,不镶嵌宝石的情况下，哪种武器会增加命中？,剑,斧,枪,弓,3
3079,相同条件下，哪种武器加的攻击最多？,剑,斧,枪,弓,2
3080,锻造贤者手杖时，需要最多的材料类型是哪种？,矿石,木头,布料,都相同,2
3082,下面哪件装备是骑士不能装备的？,水龙之枪,水龙之盔,水龙铠甲,水龙之鞋,4
3083,强度属性主要影响下面哪个属性？,攻击,魔法,防御,敏捷,3
3084,加哪个属性增加的精神最多？,力量,强度,速度,魔法,4
3085,主动技能升级的条件不包括下列哪项？,获得相关成就,技能有足够多熟练度,达到相应称号,达到相应等级,1
3086,被动技能提升经验的条件是什么？,攻击次数,被攻击次数,击杀怪物数量,战斗胜利,4
3087,回复技能回复的生命值与下列哪项有关？,施法者的魔攻,被施法者的精神,被施法者的回复,施法者的精神,3
3088,神器5级突破需要多少神器碎片？,5,10,15,20,3
3089,野外宝箱活动什么时候开始？,8点,9点,10点,17点,1
3090,离线竞技场每天可以打多少次？,5,10,15,20,1
5001,“但愿人长久，千里共婵娟”，苏东坡借这首词表达了对谁的思念之情？,妻子,兄弟,朋友,父亲,2
5002,“醉里挑灯看剑，梦回吹角连营”出自谁的作品？,陆游,岳飞,辛弃疾,李清照,3
5003,“实事求是”一词出自哪部典籍？,左传,战国策,史记,汉书,4
5004,飞机上的黑匣子被安放在飞机的哪个部位？,机头,机身中部,机翼内,机尾,4
5005,煤火不旺时，撒入以下哪种东西可以助长火势？,盐,糖,味精,胡椒,1
5006,鸡蛋最好不要和下面哪种食物一起存放？,淀粉,食油,白薯,生姜,4
5007,酒后不宜饮什么？,果汁,浓茶,矿泉水,咖啡,4
5008,下列相同重量的食物中，所含热量最多的是？,苹果,烤牛肉,奶油,牛奶,3
5009,一英尺等于？,8英寸,10英寸,12英寸,16英寸,3
5010,黄鹤楼在我国的哪一个省？,河南,河北,湖南,湖北,4
5011,我们都知道30而立40而不惑，那么“耳顺”代指什么年纪？,50,60,70,80,2
5012,山东中的“山”是指？,华山,泰山,太行山,尼山,3
5013,我国制造的第一部轿车的牌子是？,东风,解放,红旗,上海,1
5014,“蜻蜓点水”是为了什么？,喝水,洗澡,产卵,降温,3
5015,奥运会的五色环是奥林匹克运动的代表性标志，分别用蓝、黑、红、黄、绿五种颜色的环代表五大洲，蓝色代表的是哪个州？,亚洲,欧洲,大洋洲,美洲,2
5016,哈雷慧星的最早记录是哪国人留下的？,意大利人,英国人,埃及人,中国人,4
5017,欧洲最长的河流是：,莱茵河,伏尔加河,多瑙河,密西西比河,2
5018,发烧时不宜喝什么饮料？,果汁,汽水,浓茶,咖啡,3
5019,中国的四大发明不包括：,指南针,地动仪,火药,活字印刷术,2
5020,坦克是哪个国家发明的？,美国,德国,法国,英国,4
5021,我国著名的赵州桥建于哪个朝代？,汉,隋,唐,宋,2
5022,"《史记》中的""世家""是给什么人作的传？",皇帝,诸侯王,谋士,豪杰,2
5023,张家界风景区位于我国哪个省？,贵州,河北,湖北,湖南,4
5024,我国太阳能最丰富的地区是？,内蒙古地区,西藏地区,新疆地区,台湾地区,2
5025,我国第一大江————长江全长6300千米，最后注入了哪个海？,东海,黄海,北海,渤海,1
5026,大禹治水治的是？,海侵,淮河,黄河,长江,1
5027,我国现在的国歌——义勇军进行曲创作与1934年，由田汉作词，聂耳谱曲，但正式定为我国国歌却是在哪一年？,1945,1949,1965,1982,4
5028,在我们印象中，西方国家通常是指那些处于西半球的国家，其实不然，下列哪个国家不属于西方国家？,加拿大,美国,俄罗斯,日本,3
5029,由德国心理学家艾宾浩斯发现的“遗忘曲线”提示的规律是遗忘速度：？,先快后慢,先慢后快,匀速,没有规律,1
5030,青梅竹马指少年男女天真纯洁的感情长远而深厚。请问它来自哪个诗人的名句？,李白,杜甫,白居易,辛弃疾,1
5031,磨杵成针的典故与哪位诗人有关？,白居易,杜甫,李白,韩愈,3
5032,成语琳琅满目中的琳琅原指什么？,好文章,各种美好的物品,名流人才,美玉,3
5033,法国人称自己心爱的人为？,卷心菜,小甜菜,黄金虫,大白菜,1
5034,母亲节是什么时候？,五月的第一个星期日,五月的第二个星期日,六月的第一个星期日,六月的第二个星期日,2
5035,沉鱼，落燕，闭月，羞花是我国古代四大美女的雅称，请问，沉鱼是指哪位美女？,王昭君,貂蝉,西施,杨玉环,3
5036,北京卢沟桥上共有多少个石狮子？,249,365,485,524,3
5037,有的鸟长大后会找食物喂母亲，被称为，“反哺”。下列哪种鸟会“反哺”？,乌鸦,麻雀,燕子,喜鹊,1
5038,一问三不知中的三不知最早是指哪三不知？,天，地，人,事情的开始，经过，结果,爷爷，爸爸，哥哥,邻里，亲朋，好友,2
5039,名花解语，是形容什么的？,女子非常美丽,花艳丽,花通人性,美女善解人意 ,4
5040,“豆蔻年华”指的是女子多少岁？,10,13,15,16,2
5041,以下数字哪个日西方人特别忌讳的？,1,4,9,13,4
5042,麻婆豆腐是中国名菜，也是广为流传的大众菜，麻婆豆腐是哪个菜系？,粤菜,川菜,湘菜,鲁菜,2
5043,过桥米线是哪儿的小吃？,云南,四川,湖南,陕西,1
5044,人体散热量最多的部位是？,头顶,手掌心,足底,背,1
5045,吴敬梓是哪本名著的作者？,三国演义,儒林外传,西游记,水浒传,2
5046,我国四大名著之一水浒传的作者是谁？,罗贯中,吴敬梓,吴承恩,施耐庵,4
5047,三国中被刘备誉为 “一身都是胆”人物是谁？,关羽,张飞,马超,赵云,4
5048,三国演义第五回中温酒斩华雄的是谁？,刘备,关羽,张飞,赵云,2
5049,按年呑吐量算世界最大的港口是,纽约港,神户港,鹿特丹港,上海港,3
5050,石头城是对我国哪座城市的美称？,南昌,南京,拉萨,西安,2
5051,“山城”是我国哪座城市的雅号？,洛阳,西安,重庆,福州,3
5052,峨眉山位于我国哪个省份?,四川,云南,贵州,西藏,1
5053,“鲁”是我国哪个省份的简称,河北,吉林,山东,山西,3
5054,我国现存最早的兵书是,孙膑兵法,吴子,孙子兵法,六韬,3
5055,比喻变被动为主动是“三十六计”中的哪一计？,声东击西,李代桃僵,欲擒故纵,反客为主,4
5056,我国古代“十八般武艺”中第十八是“白打”意思是,打空拳,用白巾作武器,用白棒打,徒手搏斗,4
5057,“隐形飞机”是指什么样的飞机？,肉眼看不见,飞行太高看不见,体积太小,雷达检测不到,4
5058,猜谜语：火烧连营（打一词牌名）,浣溪沙,满江红,破阵子,沁园春,3
5059,宋晏殊《浣溪沙》“一曲新词酒一杯，去年天气旧亭台”这种生活指的是哪种人的生活情况。,歌妓,士大夫,落魄书生,平民百姓,2
5060,我国古代“三十六计”中第36计是,美人计,空城计,走为上计,反间计,3
5061,古代军事家曹操是哪个时期的人物？,西汉,东汉,三国,南北朝,3
5062,古代科举考试最后在殿试中考取第二名被称为,榜眼,探花,状元,执牛耳,1
5063,下列不属于“唐宋八大家”的一项是,柳宗元,曾巩,刘禹锡,王安石,3
5064,“念慈”是古代对对方亲属中哪一位的尊称,父亲,母亲,伯父,伯母,2
5065,“下半旗致哀”的由来是源于什么人物的去世,族长,酋长,船长,皇帝,3
5066,下列哪个节日原是为纪念耶稣被钉死在十字架上,圣诞节,复活节,愚人节,感恩节,3
5067,我国道家学派创始人是,孔子,老子,庄子,孟子,2
5068,“丘比特”是西方传说中哪种神的别称？,天神,爱神,智慧之神,战神,2
5069,下列作中哪部是巴金的作品？,骆驼祥子,茶馆,家,四世同堂,3
5070,“山重水复疑无路，柳暗花明又一村”是谁的诗句？,李白,辛弃疾,苏轼,陆游,4
5071,人类是恒温动物，体温总维持在多少摄氏度左右？ ,35,36,37,38,3
5072,中华民族的摇篮是：,黑龙江流域,松花江流域,黄河流域,长江流域,3
5073,“一日不见，如隔三秋”里的“三秋”是指：,三个月,三年,三个季度,三十年,3
5074,不属于中国四大佛山的是：,普陀山,武当山,九华山,峨眉山,2
5075,下列哪个不是中国六大古都：,南昌,开封,西安,洛阳,1
5076,朝杖之年，耄耋之年是指多少岁？,60岁,100岁以上,80到100岁,70岁,3
5077,在中国名山中，五岳占有显著的位臵，其中“中岳”指的是：,泰山,华山,恒山,嵩山,4
5078,北方人年夜饭要一般都要吃饺子，其象征意义是：,团圆美好,年年有余,更岁交子,五福临门,3
5079,不属于文房四宝的是：,宣纸,湖笔,徽墨,河砚,4
5080,“天知、神知、我知、子知”，最早是汉代人杨震说的，他说这句话的目的是为了：,拒绝收礼,劝人投案,替人投案,向人发誓,1
5081,王维擅长的诗体是,咏物诗,咏景诗,山水田园诗,叙事诗,3
5082,苏轼的《题西林壁》如今刻在,西林寺,东林寺,庐山,龙虎上,1
5083,人体器官中的肾脏是构成人体系统必不可少的一部分，下列四种中药里对肾脏有好处的是,人参,陈皮,桑葚,当归,3
5084,古代音律分为分为五音，其前后顺序是,宫、羽、角、商、址,宫、商、址、角、羽 ,宫、商、角、址、羽,宫、羽、商、角、址,3
5085,传说中大禹治水，三过家门而不入，最後终於治理成功，请问大禹治理的是哪条河水？,黄河,长江,淮河,珠江,1
5086,“信史”是指一个国家的历史，有当时可靠的文字记载而称做为「信史」，请问我国信史起於何时？,皇帝,夏朝,商朝,周朝,3
5087,我国着名的《孙子兵法》一书，是一部军事理论的书籍，请问该书的作者是谁？,孙武,孙权,孙膑,孙策,1
5088,“酒池肉林”一词经常被拿来形容生活奢侈作乐，请问原本酒池肉林是指哪位君王的作为？,商纣王,夏桀,周幽王,秦始皇,1
5089,唐朝诗人罗隐写了一首《自遣》，有个名句是“今朝有酒今朝醉」”，请问下一句为何？,明日花开又一年,莫使金樽空对月,明日愁来明日愁,月落乌啼霜满天,3
5090,木兰“代父从军”是中国脍炙人口的故事，请问木兰是哪个时代的人？,汉朝,宋朝,南北朝,五代十国,3
5091,“自挂东南枝”此句出自於＜孔雀东南飞＞，请问原意是指什麽意思？,上吊自杀,挂诗签祈福,砍柴烧饭,思念远方的亲人,1
5092,人说“无事不登三宝殿”，请问是哪三宝？,佛丶法丶僧,夏丶商丶周,笔丶墨丶纸,松丶梅丶兰,1
5093,人们经常以“水性杨花”，形容女子不贞，请问杨花是指？,杨柳,菊花,水仙,牡丹,1
5094,人们常以“上知天文丶下知地理”形容一个人博学多才，请问这最初是用来形容谁？,周公,伍子胥,诸葛亮,张良,2
5095,诗词中有个名句“寻寻觅觅，冷冷清清，凄凄惨惨戚戚”请问是谁所作？,李清照,韩愈,苏轼,欧阳修,1
5096,请问“五羊城”是哪个城市的别称。,广州,南京,襄阳,福州,1
5097,中国古代数学曾有很高的发展，曾经有人将圆周率精准算到小数点後七位，请问此人是谁？,祖冲之,沈括,张衡,诸葛亮,1
5098,“勿以恶小而为之丶勿以善小而不为”是谁临终前对自己儿子的叮咛？,刘备,韩愈,李靖,韩世忠,1
5099,我们常以“门外汉”来表示外行人，请问「门外」最初的由来是指哪个门？,佛门,衙门,武学山门,城门,1
5100,请问我们一般用“琴瑟之好”来代表什麽对象的交情？,夫妻之间,师生之间,同学之间,亲戚之间,1
